id;title;description;width;height;image;feed_id;medium;datetime
3;The King's Toy;"The King chess piece is depicted with a cross at his head. The cross additionally features in ""toy"", forming an inverted symbol of Venus. Among the graffiti community, a ""king"" is a highly regarded graffiti artist and ""toy"" is a derogatory term. Painting the word ""toy"" over a graffiti piece is a mark of disrespect.";1000;1000;20171115_0006.tif;1;Acrylic on canvas;2017-11-15 13:30:41.286+00
4;The Queen;An elegant depiction of the Queen chess piece with three chevrons at her head. The chevrons are symbolic of Mars: the God of War and masculinity.;1000;1000;20171115_0004.tif;1;Acrylic on canvas;2017-11-15 14:10:58.059+00
5;She is called Kira;A portrait of Kira shortly after James cut her long hair into a short and masculine style. The masculine haircut and feminine dress create an androgynous appearance that conflicts with common gender stereotypes.;1000;1000;20171115_0008.tif;1;Acrylic on canvas;2017-11-15 14:37:27.252+00
6;He is called Matt;"The cover art for the, newly released, ""Salvation"" EP by Matt under the pseudonym ""Hope for All"". The geometric style is inspired by the electronic style of ""Salvation"".";1000;1000;He_is_called_Matt.tif;1;Acrylic on canvas;2017-11-15 14:39:57.198+00
7;He is called James #1;A self portrait of the artist. The enlarged eye is centrally placed in the square canvas. The eyes, lips and hair take a more realistic form, whilst the face is composed of colourful geometric shapes.;1000;1000;20171115_0007.tif;1;Acrylic on canvas;2017-11-15 15:27:14.696+00
8;His Arm;The arm grasps a pole marked with chevrons: symbolizing his weapon. The drips of ink from his arm infer blood. However, the depiction of a masculine warrior is undermined by his lactating nipple.;1000;1000;20171115_0005.tif;1;Acrylic on canvas;2017-11-15 15:35:22.356+00
9;They are called Max;"An androgynous portrait of Max. Max is trans-gender and prefers the use the pronoun ""they"", in it's singular form. Whilst sitting they were illuminated from their left by a green light.";1000;1000;20171115_0009.tif;1;Acrylic on canvas;2017-11-15 15:54:13.56+00
10;Woman with raised knee;An expressive sketch of a female nude.;420;295;woman_with_knee_raised.tiff;2;Pencil on paper;2018-01-31 16:16:24.164+00
11;Man with raised knee;The viewer looks over the shoulder of a male nude.;420;295;man_with_knee_raised.tiff;2;Pencil on paper;2018-01-31 16:19:43.652+00
13;Twisted Laughter;A distorted face, with twisted eye and mouth.;295;420;twisted_laughter.tiff;2;Pencil on paper;2018-01-31 18:00:01.785+00
14;Two Spiders;A still life, featuring a variety of man-made objects.;420;295;two_spiders.tiff;2;Pencil on paper;2018-02-02 13:13:55.134+00
16;Up Side Down;A demon's face distorts in a circular fashion, round the square canvas. Did you hang the painting up side down?;600;600;up_side_down.tiff;1;Acrylic on canvas;2018-05-15 12:13:45.834+00
19;He is called James #2;A self portrait of the artist shortly after shaving off his long hair.;1000;1000;20180401_0018_P2xux54.tif;1;Acrylic on canvas;2018-08-07 09:20:41.37+00
20;Mars and Venus;The Greek gods of masculinity and femininity, Mars and Venus, hold a spear and a mirror respectively.;1000;1000;20180401_0012.tif;1;Acrylic on canvas;2018-08-07 09:30:17.761+00
21;Forbidden Fruit;The snake tempts you to eat the forbidden fruit. Will you Fall?;1000;1000;20180401_0006_qUgs1Kd.tif;1;Acrylic on canvas;2018-08-07 09:46:49.314+00
30;Colourful Floating Sun;"Nude forms; collage and colourful abstract forms, cross and collide.";600;400;colourful_floating_sun.tif;1;Acrylic and collage on canvas;2018-10-26 14:21:22.233351+00
12;Let's go fly a kite;An experimental sketch. Many objects twist together.;295;420;lets_go_fly_a_kite_creak_cache.tiff;2;Pencil on paper;2018-01-31 16:26:41.83+00
29;Stone Leaping Lung;Collaged objects dot the canvas, weaved with coloured abstractions.;600;400;stone_leaping_lung.tif;1;Acrylic and collage on canvas;2018-10-26 14:12:49.765136+00
22;The Gender Series;A composition of 10 canvases to form the gender series.;5000;2000;gender_uploadable.tif;1;Acrylic on 10 canvases;2018-09-12 14:52:55.288678+00
24;Angel Babe;Your sock-monkey-moose friend is proud of you. He loves you very much.;380;420;IMG_20180613_172733_483.jpg;5;Transfer on canvas bag;2018-09-12 21:29:40.374787+00
25;Depth Abstract;Clawed from the depths of an abstract phase, this design is heavily inspired by Wassily Kandinsky.;380;420;IMG_20180613_173325_948.jpg;5;Transfer on canvas bag;2018-09-12 21:37:01.346694+00
26;Empyrean;Inspired by Gustave Doré's depiction of the Empyrean from Dante's Divine Comedy;600;600;20180923_0008.tif;1;Acrylic on canvas;2018-09-23 18:48:01.506179+00
27;Green Man;An alien figure squats, surrounded by foreign light.;600;600;20180923_0003.tif;1;Acrylic on canvas;2018-09-23 18:50:56.549526+00
28;Max Reclining;Drawing inspiration from abstract expressionism, but complementing it with a more realistic depiction of a nude.;900;600;20180923_0020.tif;1;Acrylic and collage on canvas;2018-09-23 19:18:58.220374+00
42;Deformed;A deformed male nude sits with his leg up;297;420;deformed.png;8;Oil marker on paper;2018-11-26 12:37:38.81989+00
32;Chaise Longue;A female nude figure lounges in an abstract place.;900;600;chaise_lounge.tif;1;Acrylic and collage on canvas;2018-10-30 13:35:25.99841+00
31;Snowflake Eye;A narrative of frames, stances of a woman,  stand in a dream-like landscape.;900;600;snowflake_eye.tif;1;Acrylic and collage on canvas;2018-10-26 14:27:36.138119+00
33;Depth Abstract Tee;🔺🔵;0;0;IMG_20181101_093749_084.jpg;7;Transfer on cotton t shirt;2018-11-01 11:01:41.86031+00
34;Sat in Arm Chair;A colourful study of a nude female sitting in an arm chair with her head turned to her right.;325;450;sat_in_arm_chair.jpg;2;Charcoal and pastel on paper;2018-11-22 14:58:58.442349+00
35;Laying Pondering;A study of a nude female laying on the floor, pondering thoughts.;260;220;laying_pondering.jpg;2;Pencil on brown paper;2018-11-22 15:03:28.775595+00
36;Study for Queen;The Queen chess piece, a study for the painting.;220;260;study_for_queen.jpg;2;Charcoal and pastel on brown paper;2018-11-22 15:06:15.275678+00
37;Sat on Stool;A nude female sits on a stool.;320;485;sat_on_stool.jpg;2;Charcoal and pastel on paper;2018-11-22 15:09:07.798299+00
38;Stood Hand on Hip;A study from a life drawing session.;295;420;stood_hand_on_hip.jpg;2;Pencil on paper;2018-11-22 15:12:04.371911+00
39;Cross Legged Meditation;A study from a life drawing session, the female model sits cross legged.;220;260;cross_legged_meditation.jpg;2;Pencil on brown paper;2018-11-22 15:14:22.088038+00
